date,time,log_id,level,component,message,event_template,template_frequency,block_id,events_in_trace
81109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,PacketResponder <NUM> for block <BLOCK> terminating,311,blk_38865049064139660,1
81109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-6952295868487656571 terminating,PacketResponder <NUM> for block <BLOCK> terminating,311,blk_-6952295868487656571,1
81109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP>:<PORT> is added to <BLOCK> size <NUM>,314,blk_7128370237687728475,1
81109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8229193803249955061 terminating,PacketResponder <NUM> for block <BLOCK> terminating,311,blk_8229193803249955061,1
81109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-6670958622368987959 terminating,PacketResponder <NUM> for block <BLOCK> terminating,311,blk_-6670958622368987959,1
81109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP>:<PORT> is added to <BLOCK> size <NUM>,314,blk_3050920587428079149,1
81109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP>:<PORT> is added to <BLOCK> size <NUM>,314,blk_7888946331804732825,1
81109,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP>:<PORT> is added to <BLOCK> size <NUM>,314,blk_2377150260128098806,1
81109,204525,512,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_572492839287299681 terminating,PacketResponder <NUM> for block <BLOCK> terminating,311,blk_572492839287299681,1
81109,204655,556,INFO,dfs.DataNode$PacketResponder,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Received block <BLOCK> of size <NUM> from /<IP>,292,blk_3587508140051953248,1
81109,204722,567,INFO,dfs.DataNode$PacketResponder,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,Received block <BLOCK> of size <NUM> from /<IP>,292,blk_5402003568334525940,1
81109,204815,653,INFO,dfs.DataNode$DataXceiver,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,Receiving block <BLOCK> src: /<IP>:<PORT> dest: /<IP>:<PORT>,292,blk_5792489080791696128,1
81109,204842,663,INFO,dfs.DataNode$DataXceiver,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,Receiving block <BLOCK> src: /<IP>:<PORT> dest: /<IP>:<PORT>,292,blk_1724757848743533110,1
