block_id,event_count,unique_templates,unique_components,total_ip_count,exception_event,verification_event,delete_event,allocate_event,trace_time_difference,prediction,anomaly_score,anomaly
blk_-1030832046197982436,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1046472716157313227,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1049340855430710153,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1055254430948037872,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1067234447809438340,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1071115021179995772,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1082541280306680938,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1090213273274684471,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1094025072435547068,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1096621677333075077,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1101091099241306483,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-1110880362999960078,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1111344660779690782,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1125621902344947014,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1133573997287815203,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1141332313413855099,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1148756466197125339,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1162676743264290624,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-116589515245909549,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1180596628202464893,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-11867600358649678,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1197396592032418307,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1201318815778694289,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1227720343537039835,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1233005817943453613,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1236077201457689973,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1237539644269634790,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1250775350296476256,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1259190292740306590,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1263913006422225885,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
